"INTL BUS PARCELS TRACKED & SIGNED  CTRY","INTL BUS PARCELS TRACKED & SIGNED  CTRY"
"INTL BUS PARCEL TRACK&SIGN XTR CMP CTRY","INTL BUS PARCEL TRACK&SIGN XTR CMP CTRY"
"INTL BUS MAIL TRACKED & SIGNED COUNTRY","INTL BUS MAIL TRACKED & SIGNED COUNTRY"
"INTL BUS MAIL TRACK & SIGN XTR COMP CTRY","INTL BUS MAIL TRACK & SIGN XTR COMP CTRY"
"INTL BUS MAIL TRACKED","INTL BUS MAIL TRACKED"
"INTL BUS MAIL TRACKED EXTRA COMP","INTL BUS MAIL TRACKED EXTRA COMP"
"INTL BUS MAIL TRACKED COUNTRY PRICED","INTL BUS MAIL TRACKED COUNTRY PRICED"
"INTL BUS MAIL TRACKED EXTRA COMP CTRY","INTL BUS MAIL TRACKED EXTRA COMP CTRY"
"INTL BUS MAIL SIGNED","INTL BUS MAIL SIGNED"
"INTL BUS MAIL SIGNED EXTRA COMP","INTL BUS MAIL SIGNED EXTRA COMP"
"INTL BUS MAIL SIGNED COUNTRY PRICED","INTL BUS MAIL SIGNED COUNTRY PRICED"
"INTL BUS MAIL SIGNED EXTRA COMP COUNTRY","INTL BUS MAIL SIGNED EXTRA COMP COUNTRY"
"INTL BUS PARCELS ZONE SORT PLUS PRIORITY","INTL BUS PARCELS ZONE SORT PLUS PRIORITY"
"INTL BUS PARCELS ZONE SRT PLUS ECONOMY","INTL BUS PARCELS ZONE SRT PLUS ECONOMY"
"INTL STANDARD ON ACCOUNT","INTL STANDARD ON ACCOUNT"
"INTL ECONOMY ON ACCOUNT","INTL ECONOMY ON ACCOUNT"
"INTERNATIONAL SIGNED ON ACCOUNT","INTERNATIONAL SIGNED ON ACCOUNT"
"INTL SIGNED ON ACCOUNT EXTRA COMP","INTL SIGNED ON ACCOUNT EXTRA COMP"
"INTERNATIONAL TRACKED ON ACCOUNT","INTERNATIONAL TRACKED ON ACCOUNT"
"INTL TRACKED ON ACCOUNT EXTRA COMP","INTL TRACKED ON ACCOUNT EXTRA COMP"
"INTERNATIONAL TRACKED & SIGNED ON ACCT","INTERNATIONAL TRACKED & SIGNED ON ACCT"
"INTL TRACKED & SIGNED ON ACCT EXTRA COMP","INTL TRACKED & SIGNED ON ACCT EXTRA COMP"
"INTL BUS MAIL MIXED ZONE SORT PRIORITY","INTL BUS MAIL MIXED ZONE SORT PRIORITY"
"INTL BUS MAIL MIXED ZONE SORT ECONOMY","INTL BUS MAIL MIXED ZONE SORT ECONOMY"
"INTL BUS MAIL MIXED ZONE SORT PRI MCH","INTL BUS MAIL MIXED ZONE SORT PRI MCH"
"INTL BUS MAIL MIXED ZONE SRT ECONOMY MCH","INTL BUS MAIL MIXED ZONE SRT ECONOMY MCH"
"INTL BUS PARCELS MAX SORT ECONOMY","INTL BUS PARCELS MAX SORT ECONOMY"
"INTL BUS PARCELS MAX SORT STANDARD","INTL BUS PARCELS MAX SORT STANDARD"
"INTL BUS PARCELS MAX SORT PRIORITY","INTL BUS PARCELS MAX SORT PRIORITY"
"INTL BUS MAIL LRG LTR MAX SORT ECONOMY","INTL BUS MAIL LRG LTR MAX SORT ECONOMY"
"INTL BUS MAIL LRG LTR MAX SORT STANDARD","INTL BUS MAIL LRG LTR MAX SORT STANDARD"
"INTL BUS MAIL LRG LTR MAX SORT PRIORITY","INTL BUS MAIL LRG LTR MAX SORT PRIORITY"
"INTL BUS PARCELS ZERO SORT PRIORITY","INTL BUS PARCELS ZERO SORT PRIORITY"
"INTL BUS PARCELS ZERO SORT ECONOMY","INTL BUS PARCELS ZERO SORT ECONOMY"
"INTL BUS MAIL LRG LTR ZERO SRT PRIORITY","INTL BUS MAIL LRG LTR ZERO SRT PRIORITY"
"INTL BUS MAIL LRG LTR ZERO SORT ECONOMY","INTL BUS MAIL LRG LTR ZERO SORT ECONOMY"
"INTL BUS MAIL LRG LTR ZERO SRT PRI MCH","INTL BUS MAIL LRG LTR ZERO SRT PRI MCH"
"INTL BUS MAIL L LTR ZERO SRT ECONOMY MCH","INTL BUS MAIL L LTR ZERO SRT ECONOMY MCH"
"INTL BUS MAIL MIXED ZERO SORT PRIORITY","INTL BUS MAIL MIXED ZERO SORT PRIORITY"
"INTL BUS MAIL MIXED ZERO SORT ECONOMY","INTL BUS MAIL MIXED ZERO SORT ECONOMY"
"INTL BUS MAIL MIXED ZERO SORT PRI MCH","INTL BUS MAIL MIXED ZERO SORT PRI MCH"
"INTL BUS MAIL MIXD ZERO SRT ECONOMY MCH","INTL BUS MAIL MIXD ZERO SRT ECONOMY MCH"
"INTL BUS MAIL MIXED ZERO SORT PREMIUM","INTL BUS MAIL MIXED ZERO SORT PREMIUM"
"SD GUARANTEED BY 1PM","SD GUARANTEED BY 1PM"
"SD GUARANTEED BY 1PM (£1000)","SD GUARANTEED BY 1PM (£1000)"
